timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu
2026/06/18 12:14:48.190, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 279.21 W, 62
2026/06/18 12:14:49.192, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 286.11 W, 62
2026/06/18 12:14:50.194, 0, Tesla V100-SXM2-32GB, 82 %, 56 %, 32768 MiB, 4842 MiB, 27653 MiB, 100.76 W, 60
2026/06/18 12:14:51.196, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 274.90 W, 62
2026/06/18 12:14:52.197, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 280.09 W, 62
2026/06/18 12:14:53.199, 0, Tesla V100-SXM2-32GB, 97 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 277.45 W, 62
2026/06/18 12:14:54.201, 0, Tesla V100-SXM2-32GB, 97 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 277.96 W, 62
2026/06/18 12:14:55.205, 0, Tesla V100-SXM2-32GB, 88 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 109.81 W, 61
2026/06/18 12:14:56.207, 0, Tesla V100-SXM2-32GB, 95 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 272.69 W, 62
2026/06/18 12:14:57.209, 0, Tesla V100-SXM2-32GB, 96 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 278.92 W, 62
